business_name,sector,city,contact_email,owner_first_name,owner_full_name,hook_short,signature_offering,voice_register,demo_slug,demo_url,status,sent_date,last_action_date,notes
Root & Branch Bistro and Bar,restaurant,Clermont,info@rootandbranchbistroandbar.com,Jason,Jason & Casey Baruch,"Best of South Lake; chef David Henry; closed Mon-Tues; ""dressing up is optional""",New American bistro,elegant-fine-dining,rootandbranch,https://gabstw3.github.io/velo-ai-demos/rootandbranch.html,replied,2026-04-30,2026-05-02,"Jason works at Five9; asked for meeting on commercials; reply sent w/ pricing + 3 time slots Tue 5/5 2pm / Wed 5/6 11am / Thu 5/7 4pm"
Infinity Dental,dental,Apopka,info@infinitydental.co,Sushil,"Dr. Sushil Patel, DDS","Patient praise: ""didn't push procedures I didn't need""; Beef O'Brady's Plaza Rock Springs Rd",Conservative general dentistry,professional-clinical,infinitydental,https://gabstw3.github.io/velo-ai-demos/infinitydental.html,sent,2026-04-30,2026-04-30,No reply yet
The Classic Thornton Park,restaurant,Orlando,theclassicthorntonpark@gmail.com,there,,"Smash burgers + thick milkshakes; ""Food to warm your bellies friends to warm your hearts""",Gastropub / brunch,hospitable-conversational,classictp,https://gabstw3.github.io/velo-ai-demos/classictp.html,sent,2026-05-01,2026-05-01,No reply yet
Blue Violet Salon & Spa,salon,Lake Mary,bluevioletsalonandspa@gmail.com,Laurie,Laurie Owen,Master Stylist + microblading; trained Juan Juan of Beverly Hills; Damien Carney; Sue Pemberton,Hair color + microblading,warm-friendly,blueviolet,https://gabstw3.github.io/velo-ai-demos/blueviolet.html,sent,2026-05-01,2026-05-01,No reply yet
Flame Kabob,restaurant,Orlando,info@flamekaboborlando.com,there,,Family-owned Lebanese; all halal; Dr Phillips; closed Tuesdays,Lebanese / Middle Eastern halal,hospitable-conversational,flamekabob,https://gabstw3.github.io/velo-ai-demos/flamekabob.html,bounced,2026-05-01,2026-05-02,Cloudflare timeout; Gmail retrying through May 4; need alternate address
El Cilantrillo Restaurant,restaurant,Kissimmee,info@elcilantrillo.com,Hiram,Hiram & Dianne Turull,"Puerto Rican family restaurant; mofongos + El Afrentao; Old Town Kissimmee; 4 CFL locations",Puerto Rican family dining,hospitable-conversational,elcilantrillo,https://gabstw3.github.io/velo-ai-demos/elcilantrillo.html,sent,2026-05-01,2026-05-01,No reply yet
A Family Dentist Kissimmee,dental,Kissimmee,drmzaman11@gmail.com,Mohammed,"Dr. Mohammed M. Zaman, DDS",30+ years; bilingual Spanish; 11 W Dakin Ave Kissimmee; same-day emergencies,Family general dentistry,professional-clinical,zaman,https://gabstw3.github.io/velo-ai-demos/zaman.html,sent,2026-05-01,2026-05-01,No reply yet
Big John's Rockin' BBQ,restaurant,Kissimmee,bigjohnbarbecue@gmail.com,John,John 'Big John' Glover,"Lakefront Kissimmee; music-themed; ribs ""bone comes off""; brisket; hobby-to-business story",BBQ / smoked meats,hospitable-conversational,bigjohn,https://gabstw3.github.io/velo-ai-demos/bigjohn.html,sent,2026-05-01,2026-05-01,No reply yet
West & Kennedy Barbershop,salon,Winter Park,ralphycapelli@gmail.com,Reggie,Reggie Jones,Master barber; celebrity barber NBA/Grammy; full-service hot towel shave + cuts + color,Men's grooming studio,warm-friendly,westkennedy,https://gabstw3.github.io/velo-ai-demos/westkennedy.html,sent,2026-05-01,2026-05-01,No reply yet
Heathrow Dentistry,dental,Lake Mary,frontdesk@lakemarycosmeticdentist.com,Fabrizio,"Dr. Fabrizio Amador DMD & Dr. Woowon Choi DMD",Nextdoor Fave 2022-2024; 1511 International Pkwy; Spanish-speaking; SimplyClear aligners,Cosmetic + implant dentistry,professional-clinical,heathrow,https://gabstw3.github.io/velo-ai-demos/heathrow.html,sent,2026-05-01,2026-05-01,Formerly Lake Mary Family Cosmetic & Implant; rebranded to Heathrow Dentistry
